"correct","response_time"
1,1699
1,1497
0,1338
1,1444
1,1525
1,1223
0,2000
1,1397
0,1589
1,1576
1,1297
0,2000
1,1249
1,1265
1,1423
1,1726
1,1463
1,1202
0,2000
1,1229
0,1887
1,1226
1,1071
1,1183
1,1170
1,1784
1,1177
0,878
1,923
0,1202
1,1122
1,1885
0,798
1,1457
1,1229
1,856
1,1211
0,736
1,1100
1,1320
0,859
0,987
1,1120
1,1684
1,843
0,732
1,946
1,1413
1,877
0,851
1,1052
1,1333
1,815
0,753
0,1518
1,1170
1,1239
1,1437
1,1472
1,971
0,1163
1,939
1,769
1,1019
1,798
1,1167
0,721
1,973
1,751
0,2000
1,1019
1,1243
1,594
1,846
0,855
1,669
1,893
0,1214
1,652
0,706
1,682
0,598
1,1068
0,1264
0,944
1,1384
1,986
1,1760
1,836
1,515
1,815
0,1067
1,947
1,978
0,751
0,1278
0,547
1,576
1,497
1,950
1,1066
1,990
0,1691
1,994
1,1001
1,942
0,802
1,938
1,991
1,903
1,959
1,1278
1,1068
1,899
1,903
0,768
0,1450
1,1854
0,2000
1,1492
1,1935
1,818
1,826
0,1360
1,1082
1,776
1,884
1,1947
1,919
1,918
1,918
1,898
1,883
1,843
0,881
0,761
1,928
1,1576
1,896
0,1242
0,1048
0,995
0,778
1,843
1,759
0,791
1,921
0,772
1,1062
1,1078
1,964
1,842
1,1285
1,898
1,1736
0,1300
1,850
1,868
1,1261
1,1082
1,894
0,1074
1,791
1,1048
1,1092
1,917
1,914
1,918
1,1057
1,1228
1,677
0,799
0,571
1,810
0,625
1,785
0,1719
1,832
0,867
1,770
1,1196
1,693
1,866
0,965
0,1263
1,779
1,706
1,810
1,1821
1,1131
1,1093
1,967
0,1024
1,1110
1,1546
1,846
0,824
0,784
1,618
1,658
